
Dump of file C:\Windows\System32\nvcuda.dll

File Type: DLL

  Section contains the following exports for nvcuda_loader.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
         537 number of functions
         537 number of names

    ordinal hint RVA      name

        426  1A9 00205E3C cuModuleLoadDataEx
        427  1AA 00205E42 cuModuleLoadFatBinary
        428  1AB 00205E48 cuModuleUnload
        429  1AC 002064B4 cuOccupancyAvailableDynamicSMemPerBlock
        430  1AD 0020649C cuOccupancyMaxActiveBlocksPerMultiprocessor
        431  1AE 002064A8 cuOccupancyMaxActiveBlocksPerMultiprocessorWithFlags
        432  1AF 002064A2 cuOccupancyMaxPotentialBlockSize
        433  1B0 002064AE cuOccupancyMaxPotentialBlockSizeWithFlags
        434  1B1 00205DD6 cuParamSetSize
        435  1B2 00205DEE cuParamSetTexRef
        436  1B3 00205DE2 cuParamSetf
        437  1B4 00205DDC cuParamSeti
        438  1B5 00205DE8 cuParamSetv
        439  1B6 00205C20 cuPointerGetAttribute
        440  1B7 00205C2C cuPointerGetAttributes
        441  1B8 00205C26 cuPointerSetAttribute
        442  1B9 0020639A cuProfilerInitialize
        443  1BA 002063A0 cuProfilerStart
        444  1BB 002063A6 cuProfilerStop
        445  1BC 00206412 cuSignalExternalSemaphoresAsync
        446  1BD 00206418 cuSignalExternalSemaphoresAsync_ptsz
        447  1BE 00206352 cuStreamAddCallback
        448  1BF 00206358 cuStreamAddCallback_ptsz
        449  1C0 0020635E cuStreamAttachMemAsync
        450  1C1 00206364 cuStreamAttachMemAsync_ptsz
        451  1C2 002061D2 cuStreamBatchMemOp
        452  1C3 002061D8 cuStreamBatchMemOp_ptsz
        453  1C4 00206310 cuStreamBeginCapture
        454  1C5 00206316 cuStreamBeginCapture_ptsz
        455  1C6 0020631C cuStreamBeginCapture_v2
        456  1C7 00206322 cuStreamBeginCapture_v2_ptsz
        457  1C8 00206682 cuStreamCopyAttributes
        458  1C9 00206688 cuStreamCopyAttributes_ptsz
        459  1CA 002062B0 cuStreamCreate
        460  1CB 002062B6 cuStreamCreateWithPriority
        461  1CC 002062E0 cuStreamDestroy
        462  1CD 002062E6 cuStreamDestroy_v2
        463  1CE 00206328 cuStreamEndCapture
        464  1CF 0020632E cuStreamEndCapture_ptsz
        465  1D0 0020668E cuStreamGetAttribute
        466  1D1 00206694 cuStreamGetAttribute_ptsz
        467  1D2 00206340 cuStreamGetCaptureInfo
        468  1D3 00206346 cuStreamGetCaptureInfo_ptsz
        469  1D4 002062D4 cuStreamGetCtx
        470  1D5 002062DA cuStreamGetCtx_ptsz
        471  1D6 002062C8 cuStreamGetFlags
        472  1D7 002062CE cuStreamGetFlags_ptsz
        473  1D8 002062BC cuStreamGetPriority
        474  1D9 002062C2 cuStreamGetPriority_ptsz
        475  1DA 00206334 cuStreamIsCapturing
        476  1DB 0020633A cuStreamIsCapturing_ptsz
        477  1DC 002062EC cuStreamQuery
        478  1DD 002062F2 cuStreamQuery_ptsz
        479  1DE 0020669A cuStreamSetAttribute
        480  1DF 002066A0 cuStreamSetAttribute_ptsz
        481  1E0 002062F8 cuStreamSynchronize
        482  1E1 002062FE cuStreamSynchronize_ptsz
        483  1E2 00206304 cuStreamWaitEvent
        484  1E3 0020630A cuStreamWaitEvent_ptsz
        485  1E4 002061A2 cuStreamWaitValue32
        486  1E5 002061A8 cuStreamWaitValue32_ptsz
        487  1E6 002061BA cuStreamWaitValue64
        488  1E7 002061C0 cuStreamWaitValue64_ptsz
        489  1E8 002061AE cuStreamWriteValue32
        490  1E9 002061B4 cuStreamWriteValue32_ptsz
        491  1EA 002061C6 cuStreamWriteValue64
        492  1EB 002061CC cuStreamWriteValue64_ptsz
        493  1EC 0020647E cuSurfObjectCreate
        494  1ED 00206484 cuSurfObjectDestroy
        495  1EE 0020648A cuSurfObjectGetResourceDesc
        496  1EF 00206160 cuSurfRefGetArray
        497  1F0 0020615A cuSurfRefSetArray
        498  1F1 00206460 cuTexObjectCreate
        499  1F2 00206466 cuTexObjectDestroy
        500  1F3 0020646C cuTexObjectGetResourceDesc
        501  1F4 00206472 cuTexObjectGetResourceViewDesc
        502  1F5 00206478 cuTexObjectGetTextureDesc
        503  1F6 0020609A cuTexRefCreate
        504  1F7 002060A0 cuTexRefDestroy
        505  1F8 00206106 cuTexRefGetAddress
        506  1F9 0020611E cuTexRefGetAddressMode
        507  1FA 0020610C cuTexRefGetAddress_v2
        508  1FB 00206112 cuTexRefGetArray
        509  1FC 0020614E cuTexRefGetBorderColor
        510  1FD 00206124 cuTexRefGetFilterMode
        511  1FE 0020612A cuTexRefGetFlags
        512  1FF 00206130 cuTexRefGetFormat
        513  200 00206148 cuTexRefGetMaxAnisotropy
        514  201 00206136 cuTexRefGetMipmapFilterMode
        515  202 0020613C cuTexRefGetMipmapLevelBias
        516  203 00206142 cuTexRefGetMipmapLevelClamp
        517  204 00206118 cuTexRefGetMipmappedArray
